"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1982","Stratum_1"," [kg*km2/km2]",2422863322.0122,219450420.78245,0.0905748247491714
"1","1983","Stratum_1"," [kg*km2/km2]",5764063104.42793,494907268.883815,0.0858608346087726
"1","1984","Stratum_1"," [kg*km2/km2]",4252525888.27616,401400798.529983,0.0943911475381276
"1","1985","Stratum_1"," [kg*km2/km2]",4939026447.38675,565670457.461614,0.11453076096827
"1","1986","Stratum_1"," [kg*km2/km2]",4500205453.5518,418655618.744576,0.0930303345182053
"1","1987","Stratum_1"," [kg*km2/km2]",4570045865.1274,414339830.478868,0.0906642608645499
"1","1988","Stratum_1"," [kg*km2/km2]",6611503386.00395,673610413.395026,0.101884605371451
"1","1989","Stratum_1"," [kg*km2/km2]",5835181775.63518,496137653.226995,0.0850252266859311
"1","1990","Stratum_1"," [kg*km2/km2]",6371886847.84589,691990752.026899,0.108600602702296
"1","1991","Stratum_1"," [kg*km2/km2]",4525254048.68167,403493263.931393,0.0891647760746033
"1","1992","Stratum_1"," [kg*km2/km2]",4421265676.39876,414506234.51024,0.0937528447392165
"1","1993","Stratum_1"," [kg*km2/km2]",5185480647.07366,439408526.837275,0.08473824448371
"1","1994","Stratum_1"," [kg*km2/km2]",4601605728.9168,405384354.782602,0.0880962817468561
"1","1995","Stratum_1"," [kg*km2/km2]",4335519182.91511,442985442.318795,0.102175869516264
"1","1996","Stratum_1"," [kg*km2/km2]",2779130182.89349,225423716.627738,0.081113046814179
"1","1997","Stratum_1"," [kg*km2/km2]",2982004643.22626,240898732.642624,0.0807841574592565
"1","1998","Stratum_1"," [kg*km2/km2]",2324047430.62949,195122578.249493,0.0839580878074599
"1","1999","Stratum_1"," [kg*km2/km2]",3336079991.45629,319330589.24471,0.0957203034886802
"1","2000","Stratum_1"," [kg*km2/km2]",4730865628.06145,417593574.714035,0.088270013892817
"1","2001","Stratum_1"," [kg*km2/km2]",3963987922.08459,340617616.441792,0.0859280157096614
"1","2002","Stratum_1"," [kg*km2/km2]",4300225771.12709,328223224.038126,0.0763269747932558
"1","2003","Stratum_1"," [kg*km2/km2]",6582728525.37001,572279892.267283,0.0869365780559993
"1","2004","Stratum_1"," [kg*km2/km2]",3585741774.78732,294937486.830122,0.0822528518098924
"1","2005","Stratum_1"," [kg*km2/km2]",4559790293.07576,419521490.651657,0.092004558036083
"1","2006","Stratum_1"," [kg*km2/km2]",2703458649.27227,235000124.516781,0.0869257329236532
"1","2007","Stratum_1"," [kg*km2/km2]",3948075515.9825,418256767.300224,0.105939404048136
"1","2008","Stratum_1"," [kg*km2/km2]",2716103195.43231,284507015.055732,0.104748234726202
"1","2009","Stratum_1"," [kg*km2/km2]",2082279157.14102,250671068.398775,0.120383027193601
"1","2010","Stratum_1"," [kg*km2/km2]",3251338532.30253,336211512.088139,0.103407107179959
"1","2011","Stratum_1"," [kg*km2/km2]",2865310196.2625,251646274.301448,0.0878251418047842
"1","2012","Stratum_1"," [kg*km2/km2]",3269939330.33669,272484618.552174,0.0833301755858932
"1","2013","Stratum_1"," [kg*km2/km2]",4259292347.16806,390012594.64838,0.0915674630570249
"1","2014","Stratum_1"," [kg*km2/km2]",7126665502.19405,549460318.178025,0.0770992153355403
